run_id,manifest_present,source_path_present,source_file_exists,source_hash_present,topics,blank_topic_names,duplicate_topic_names,topics_with_description,topics_with_summary,prerequisite_edges,malformed_edges,dangling_prerequisite_edges,self_loops,duplicate_prerequisite_edges,has_prerequisite_cycle,stage2a_present,stage2b_present,stage3_present
01-introduction-to-rag/7cfd7fd31611,True,True,True,True,9,0,0,9,9,5,0,0,0,0,False,True,True,True
01-simple-qa-readme/77b046bfe0ed,True,True,True,True,9,0,0,9,9,5,0,0,0,0,False,True,True,True
01_intro/d3a9f91a36eb,True,True,True,True,9,0,0,9,9,7,0,0,0,0,False,True,True,True
02-document-chat-readme/f1744a249864,True,True,True,True,15,0,0,0,15,9,0,0,0,0,False,True,True,True
02-understanding-embeddings/2a611584541b,True,True,True,True,9,0,0,9,9,5,0,0,0,0,False,True,True,True
02_linear_algebra/a7843d98e072,True,True,True,True,9,0,0,9,9,7,0,0,0,0,False,True,True,True
03-vector-databases-retrieval/4f238ede4c95,True,True,True,True,9,0,0,9,9,5,0,0,0,0,False,True,True,True
03_prob/20e52d6d8bb6,True,True,True,True,9,0,0,9,9,8,0,0,0,0,False,True,True,True
04-language-models-generation/fd2b5b9f4415,True,True,True,True,9,0,0,9,9,7,0,0,0,0,False,True,True,True
04_numerical/dd3a4dd53cd3,True,True,True,True,9,0,0,9,9,6,0,0,0,0,False,True,True,True
05-building-simple-rag/35ec62f5ee2b,True,True,True,True,9,0,0,9,9,6,0,0,0,0,False,True,True,True
05_ml/f11d16937e75,True,True,True,True,9,0,0,9,9,5,0,0,0,0,False,True,True,True
06-advanced-rag-techniques/a65350c7ccf6,True,True,True,True,9,0,0,9,9,5,0,0,0,0,False,True,True,True
06_mlp/01e27d8d0770,True,True,True,True,9,0,0,9,9,8,0,0,0,0,False,True,True,True
07_regularization/997097d7933e,True,True,True,True,9,0,0,9,9,5,0,0,0,0,False,True,True,True
09_conv/426f5e52542b,True,True,True,True,9,0,0,9,9,6,0,0,0,0,False,True,True,True
10_rnn/9b582c970ecc,True,True,True,True,9,0,0,9,9,7,0,0,0,0,False,True,True,True
11_practical/a68993be7226,True,True,True,True,11,0,0,11,11,8,0,0,0,0,False,True,True,True
12_applications/138e122a8bdc,True,True,True,True,9,0,0,9,9,5,0,0,0,0,False,True,True,True
13_linear_factors/92de7f819b1a,True,True,True,True,8,0,0,8,8,5,0,0,0,0,False,True,True,True
14_autoencoders/130bdd5f620b,True,True,True,True,9,0,0,9,9,6,0,0,0,0,False,True,True,True
15_representation/4d0c1e4d0bc5,True,True,True,True,9,0,0,9,9,5,0,0,0,0,False,True,True,True
16_graphical_models/26ce146b38e1,True,True,True,True,9,0,0,9,9,5,0,0,0,0,False,True,True,True
17_monte_carlo/ff4d1de5355c,True,True,True,True,11,0,0,11,11,5,0,0,0,0,False,True,True,True
18_partition/b39fd6ffea3b,True,True,True,True,9,0,0,9,9,6,0,0,0,0,False,True,True,True
2024-cs224n-python-review-session-slides.pptx/17ef722b88a0,True,True,True,True,9,0,0,9,9,7,0,0,0,0,False,True,True,True
andrew-ng-machine-learning-yearning/7e40402fdf34,True,True,True,True,9,0,0,9,9,8,0,0,0,0,False,True,True,True
batch_norm/d1d6f8695dd4,True,True,True,True,8,0,0,8,8,6,0,0,0,0,False,True,True,True
cs224n-2026-lecture01-history/5845dce2ddc2,True,True,True,True,9,0,0,9,9,5,0,0,0,0,False,True,True,True
cs224n-2026-lecture01-intro/f9a723b011b2,True,True,True,True,8,0,0,8,8,6,0,0,0,0,False,True,True,True
cs224n-2026-lecture02-wordvecs/fd0b4ad8af88,True,True,True,True,9,0,0,9,9,5,0,0,0,0,False,True,True,True
cs224n-2026-lecture03-neuralnets/8aae94ed0125,True,True,True,True,9,0,0,9,9,7,0,0,0,0,False,True,True,True
cs224n-2026-lecture04-rnnlm/590f0f50aaee,True,True,True,True,9,0,0,9,9,6,0,0,0,0,False,True,True,True
cs224n-2026-lecture05-transformers/0e9017f9dbd8,True,True,True,True,9,0,0,9,9,6,0,0,0,0,False,True,True,True
cs224n-2026-lecture06-final-project/b7818dcc886c,True,True,True,True,9,0,0,9,9,5,0,0,0,0,False,True,True,True
cs224n-2026-lecture07-pretraining/2011d5086c71,True,True,True,True,9,0,0,9,0,6,0,0,0,0,False,True,True,False
cs224n-2026-lecture08-posttraining/f71e4c3743c8,True,True,True,True,9,0,0,9,9,5,0,0,0,0,False,True,True,True
cs224n-2026-lecture09-peft/c94167e219b5,True,True,True,True,9,0,0,9,9,7,0,0,0,0,False,True,True,True
cs224n-2026-lecture10-rag-agents/2e97edb678d2,True,True,True,True,9,0,0,9,9,7,0,0,0,0,False,True,True,True
cs224n-2026-lecture11-evaluation/93703513bbd4,True,True,True,True,9,0,0,9,9,8,0,0,0,0,False,True,True,True
cs224n-2026-lecture12-reasoning-part1/4f4ba00d02f4,True,True,True,True,9,0,0,9,9,5,0,0,0,0,False,True,True,True
