run_id,model,item_type,decision,item,reason
01-introduction-to-rag-7cfd7fd31611,baseline,topic,unsupported,Scalability in Systems,"Scalability is mentioned only as a comparative benefit of RAG over prompt stuffing, not as a standalone learning concept."
01-introduction-to-rag-7cfd7fd31611,baseline,topic,unsupported,Neural Networks,The source discusses LLMs and embeddings but does not introduce neural networks as a topic.
01-introduction-to-rag-7cfd7fd31611,baseline,topic,unsupported,Training Techniques,"Fine-tuning and retraining are mentioned as alternatives or costs, but training techniques are not taught."
01-introduction-to-rag-7cfd7fd31611,baseline,topic,unsupported,Information Access,"Access to internal or personal information is an application benefit, not a distinct instructional concept."
01-introduction-to-rag-7cfd7fd31611,baseline,topic,unsupported,Generative Models,"The lesson refers specifically to LLMs generating answers, not to generative models as a general topic."
01-introduction-to-rag-7cfd7fd31611,baseline,prerequisite,rejected,Neural Networks -> Training Techniques,"Neither concept is taught in the source, and this dependency is not established."
01-introduction-to-rag-7cfd7fd31611,baseline,prerequisite,rejected,Information Retrieval Quality -> Retrieval-Augmented Generation (RAG),"Retrieval quality is presented as a challenge affecting RAG performance, not as a prerequisite for learning RAG."
01-introduction-to-rag-7cfd7fd31611,baseline,prerequisite,rejected,Information Access -> Relevant Information,The source does not establish a directional learning dependency between these broad notions.
01-introduction-to-rag-7cfd7fd31611,baseline,prerequisite,rejected,Retrieval-Augmented Generation (RAG) -> Generative Models,"The direction is unsupported: RAG uses an LLM for generation, rather than serving as a prerequisite for generative models."
01-introduction-to-rag-7cfd7fd31611,baseline,prerequisite,rejected,Scalability in Systems -> Information Retrieval Quality,The source notes scalability as a benefit of RAG but does not make it a prerequisite for retrieval quality.
01-introduction-to-rag-7cfd7fd31611,gpt55,topic,unsupported,Neural Networks,The source discusses LLMs and embeddings but does not explain neural networks as a learning topic.
01-introduction-to-rag-7cfd7fd31611,gpt55,topic,unsupported,Training Techniques,"Fine-tuning and retraining are mentioned only as alternatives or costs, not as a topic about training techniques."
01-introduction-to-rag-7cfd7fd31611,gpt55,prerequisite,rejected,Information Access -> Retrieval-Augmented Generation (RAG),"Information access is presented as a benefit or application of RAG, not as a prerequisite concept."
01-introduction-to-rag-7cfd7fd31611,gpt55,prerequisite,rejected,Relevant Information -> Information Retrieval Quality,"Relevance is related to retrieval quality, but the source does not establish it as a distinct directional learning prerequisite."
01-simple-qa-readme-77b046bfe0ed,baseline,topic,unsupported,Python Basics,"Python commands and code are shown, but Python fundamentals are not taught as a learning topic."
01-simple-qa-readme-77b046bfe0ed,baseline,topic,unsupported,Machine Learning Concepts,The source uses embedding models but does not present broad machine-learning concepts.
01-simple-qa-readme-77b046bfe0ed,baseline,topic,unsupported,Training Techniques,No model training or training methods are discussed.
01-simple-qa-readme-77b046bfe0ed,baseline,prerequisite,rejected,Python Basics -> Machine Learning Concepts,"Neither Python basics nor general machine-learning concepts is taught, and this dependency is not established by the source."
01-simple-qa-readme-77b046bfe0ed,baseline,prerequisite,rejected,Machine Learning Concepts -> Training Techniques,Training techniques are not covered in the source.
01-simple-qa-readme-77b046bfe0ed,baseline,prerequisite,rejected,Data Storage -> Vector Databases,The source states that vectors are stored in Chroma DB but does not establish general data storage as a learning prerequisite.
01-simple-qa-readme-77b046bfe0ed,baseline,prerequisite,rejected,Vector Databases -> Retrieval Techniques,"The example uses a vector database for retrieval, but it does not establish vector-database knowledge as a prerequisite for retrieval techniques generally."
01-simple-qa-readme-77b046bfe0ed,gpt55,topic,unsupported,Python Basics,Python is only mentioned as a fact and as the command used to run the example; Python fundamentals are not taught.
01-simple-qa-readme-77b046bfe0ed,gpt55,topic,unsupported,Machine Learning Concepts,The source demonstrates embeddings and language models but does not provide a general treatment of machine-learning concepts.
01-simple-qa-readme-77b046bfe0ed,gpt55,topic,unsupported,Training Techniques,No model training or training methodology is described.
01-simple-qa-readme-77b046bfe0ed,gpt55,prerequisite,rejected,Machine Learning Concepts -> Training Techniques,"Training techniques are not covered in the source, so this dependency is unsupported."
01_intro-d3a9f91a36eb,baseline,prerequisite,rejected,Artificial Neural Networks -> Autoencoders,The source identifies autoencoders as representation-learning algorithms but does not establish that they are necessarily a subtype requiring artificial neural networks.
01_intro-d3a9f91a36eb,baseline,prerequisite,rejected,Artificial Neural Networks -> Computational Graphs,"Computational graphs are presented as a way to measure model depth, not as a required prerequisite for understanding artificial neural networks."
01_intro-d3a9f91a36eb,baseline,prerequisite,rejected,Datasets -> Training Techniques,"Datasets are used for training, but the source does not establish a strong directional learning prerequisite from datasets to training techniques."
01_intro-d3a9f91a36eb,baseline,prerequisite,rejected,Training Techniques -> Learning Algorithms,"Training techniques and learning algorithms are related, but the stated direction is not supported as a prerequisite dependency."
01_intro-d3a9f91a36eb,baseline,prerequisite,rejected,Datasets -> Visual Recognition,"The source gives visual-recognition datasets as applications and benchmarks, not as a conceptual prerequisite for visual recognition."
01_intro-d3a9f91a36eb,baseline,prerequisite,rejected,Datasets -> Data Representation,"The source discusses representations of data, but does not establish that understanding datasets is prerequisite to data representation."
01_intro-d3a9f91a36eb,gpt55,prerequisite,rejected,Neurons -> Artificial Neural Networks,"The text discusses neuron counts and connections in neural networks, but does not establish learning about neurons as a prerequisite for artificial neural networks."
01_intro-d3a9f91a36eb,gpt55,prerequisite,rejected,Artificial Neural Networks -> Autoencoders,"Autoencoders are presented as representation-learning systems, not explicitly as requiring prior understanding of artificial neural networks."
01_intro-d3a9f91a36eb,gpt55,prerequisite,rejected,Data Representation -> Visual Recognition,"The image example uses pixel representations for recognition, but does not establish a strong prerequisite dependency."
02-document-chat-readme-f1744a249864,baseline,topic,unsupported,document_chat library usage in Python,"The source shows execution of a Python script, not use of a document_chat library."
02-document-chat-readme-f1744a249864,baseline,topic,unsupported,document_chat API integration,"An API key is configured, but no API integration procedure or API usage is described."
02-document-chat-readme-f1744a249864,baseline,topic,unsupported,conversation machine learning models,Machine learning is only mentioned in an example user question; no conversational models are covered.
02-document-chat-readme-f1744a249864,baseline,topic,unsupported,documents conversation analysis techniques,"The source describes document loading and chunking, not conversation-analysis techniques."
02-document-chat-readme-f1744a249864,baseline,topic,unsupported,real-time document chat applications,"The system is interactive, but real-time application design is not discussed."
02-document-chat-readme-f1744a249864,baseline,topic,unsupported,document chat user interface design,"Basic terminal chat commands are listed, but UI design is not covered."
02-document-chat-readme-f1744a249864,baseline,topic,unsupported,document chat performance optimization,No performance measurement or optimization methods are described.
02-document-chat-readme-f1744a249864,baseline,topic,unsupported,conversation machine architecture,The source lists system features but does not explain a conversational-machine architecture.
02-document-chat-readme-f1744a249864,baseline,topic,unsupported,documents conversation data processing,"Document loading and chunking are described, but not a general conversation-data-processing concept."
02-document-chat-readme-f1744a249864,baseline,topic,unsupported,document chat security considerations,"API-key setup is mentioned, but security considerations are not discussed."
02-document-chat-readme-f1744a249864,baseline,topic,unsupported,python document_chat error handling,No error handling behavior or implementation is described.
02-document-chat-readme-f1744a249864,baseline,topic,unsupported,document chat use cases in business,No business use cases are presented.
02-document-chat-readme-f1744a249864,baseline,topic,unsupported,conversation machine training datasets,No model training or training datasets are described.
02-document-chat-readme-f1744a249864,baseline,prerequisite,rejected,document_chat library usage in Python -> python document_chat implementation,"No document_chat library is identified in the source, and the source does not establish this learning dependency."
02-document-chat-readme-f1744a249864,baseline,prerequisite,rejected,python document_chat implementation -> document chat functionality in Python,The source presents an executable example but does not state that implementation knowledge is a prerequisite for understanding the functionality.
02-document-chat-readme-f1744a249864,baseline,prerequisite,rejected,document chat functionality in Python -> document_chat API integration,API integration is not covered by the source.
02-document-chat-readme-f1744a249864,baseline,prerequisite,rejected,conversation machine learning models -> conversation machine architecture,Neither conversational models nor system architecture is described.
02-document-chat-readme-f1744a249864,baseline,prerequisite,rejected,documents conversation analysis techniques -> documents conversation data processing,Neither analysis techniques nor conversation-data processing is established in the source.
02-document-chat-readme-f1744a249864,baseline,prerequisite,rejected,document chat user interface design -> real-time document chat applications,The source does not cover UI design or real-time application development.
02-document-chat-readme-f1744a249864,baseline,prerequisite,rejected,document chat performance optimization -> real-time document chat applications,Performance optimization and real-time application requirements are not discussed.
02-document-chat-readme-f1744a249864,baseline,prerequisite,rejected,document chat security considerations -> document chat use cases in business,Neither security considerations nor business use cases is covered.
02-document-chat-readme-f1744a249864,baseline,prerequisite,rejected,conversation machine training datasets -> conversation machine learning models,The source contains no training-data or model-development content.
02-document-chat-readme-f1744a249864,gpt55,topic,unsupported,document_chat library usage in Python,"The source identifies document_chat.py as a script, not a reusable library or its usage."
02-document-chat-readme-f1744a249864,gpt55,topic,unsupported,document_chat API integration,"An OpenAI API key is configured, but no API integration details are described."
02-document-chat-readme-f1744a249864,gpt55,topic,unsupported,conversation machine learning models,The source gives a chat-system example without discussing conversational model concepts.
02-document-chat-readme-f1744a249864,gpt55,topic,unsupported,documents conversation analysis techniques,No conversation-analysis techniques are described.
02-document-chat-readme-f1744a249864,gpt55,topic,unsupported,real-time document chat applications,"The system is interactive, but real-time application design is not discussed."
02-document-chat-readme-f1744a249864,gpt55,topic,unsupported,document chat user interface design,The source lists terminal commands but does not cover interface design.
